index,premise,hypothesis,label
9923,프랑스 특유의 여유로움이 느껴지는 영화.,프랑스는 여유로운 사람이 많은 나라.,neutral
9924,그 외에 다른 것들은 좋은 점이없었습니다.,좋은 점이 있긴 했습니다.,entailment
9925,현행 여객자동차법령상 원칙적으로 택시의 근무교대는 차고지에서 하도록 규정하고 있다.,택시의 근무교대는 자유롭게 어디서든 할 수 있다.,contradiction
9926,"많은 지역에서는 발포성 포도주를 샴페인이라고 지칭하는데, 사실 프랑스 상파뉴 지역에서 만들어진 발포성 포도주만 샴페인이라고 명명할 수 있다.",프랑스 상파뉴 지역이 아닌 곳에서 생산된 발포성 포도주도 샴페인이다.,contradiction
9927,한편 화천에서 체육활동을 하던 중 병사 4명이 급류에 휩쓸려 1명이 숨지고 3명이 부상당했습니다.,급류에 휩쓸려 부상당한 병사는 모두 완치했다.,neutral
9928,"먼저 중소기업과 소상공인 제품을 중심으로 민간 쇼핑몰, 가치삽시다 플랫폼 등을 통해 온라인 방식의 판촉 행사가 진행된다.",먼저 중소기업과 소상공인 제품을 중심으로 민간 쇼핑몰 등을 통해 오프라인 방식의 판촉 행사가 진행된다.,contradiction
9929,사칭 계정은 문재인 대통령 행세를 하면서 이재명 경기도지사를 옹호하는 글을 올리기도 했다.,문재인 대통령을 사칭하는 계정이 생기기도 했다.,entailment
9930,집주인분인 크리스틴은 매우 매우 친절했습니다.,크리스틴이 집주인이었습니다.,entailment
9931,강의는 매주 1회 트윈스타 4층에서 무료로 5차례 진행된다.,강의는 트윈스타 4층에서 들을수 있다.,entailment
9932,"현재 생산되는 체더의 거의 대부분은 공장에서 생산되어 네모난 모양을 하고 있는데, 극소수 농가에서 생산된 것은 원반 모양을 하고 있다.",체더가 생산되는 공장은 대부분 적자에 시달린다.,neutral
9933,그래서 더욱 몰입이 잘 됐고 연출도 뛰어나 기억에 많이 남는 영화.,몰입이 정말 잘 됐던 영화.,entailment
9934,"위원회는 업종별 어업인간 분쟁시 자율적 조정 및 어업인 복지 향상과 어촌 활력 제고를 위한 시책 발굴, 수산 행정 현안 협의 등 기능을 맡게 된다.",위원회가 너무 많은 기능을 맡게 되는 것이 아닌가 하는 불안의견도 제시되었다.,neutral
9935,베란다에 옷을 걸 수 있는곳이 있습니다.,베란다에 옷을 걸지 못합니다.,contradiction
9936,우선 사진이랑 정말 똑같다는 점이 좋았어요.,인테리어가 사진과 똑같았어요.,neutral
9937,이 영화의 주인공은 클린트 이스트우드도 리반 클립도 아닌 다름아닌 악당 지안 마리아 블론테 였다.,이 영화의 주인공은 악당이다.,entailment
9938,대한민국의 여행정보센터에서는 키르기스스탄 총선 결과 항의 시위가 일어나고 있는 기간 동안에는 신변 안전에 주의를 기울이라는 통보를 하였다.,키르기스스탄에서는 총선 결과를 인정하지 않는 사람들이 시위를 벌였다.,entailment
9939,기재부와 한국은행은 앞으로도 주요국가들과의 긴밀한 공조를 통해 금융시장 안정 노력을 지속해 나갈 방침이다.,기재부와 한국은행은 주요국가들과의 긴밀한 공조를 통해 금융시장 안정 노력을 지속해왔다.,entailment
9940,숙소는 니시신주쿠고초메역에서 정말 가깝습니다.,숙소는 니스신주쿠고초메역에서 멀다.,contradiction
9941,코레일 사장 최연혜가 새누리당 지도부에 인사청탁을 했다는 사실이 알려져 논란이 되고 있다.,새누리당 지도부에 인사청탁을 한 사람은 이재용뿐이다.,contradiction
9942,얼마 안 있으면 쌍둥이 언니 승진이 형부와 함께 미국에서 돌아올 예정이다.,승진과 형부는 결혼한지 5년이 넘었다.,neutral
9943,마지막에 옛날 도성나와서 1점 드립니다.,마지막 나오는 옛날 도성이 몰입을 망쳤습니다.,neutral
9944,최기영 과학기술정보통신부 장관이 15일 정부서울청사 브리핑실에서 정부 합동으로 디지털 뉴딜 주요 내용을 발표하고 있다.,과학기술정보통신부 장관은 최기영이다.,entailment
9945,최고의 영화다 혹평 진짜 이해못하겠음,혹평을 이해 할 수 없는 영화다.,entailment
9946,그만큼 몰입될 수 있게 잘만든 20세기 마지막해의 영화다.,몰입이 전혀 되지 않는 영화다.,contradiction
9947,"특히 지난해 사망자 6명은 취학전 3명, 저학년 2명, 고학년 1명으로, 모두 보행중 사망한 것으로 조사되었다.",지난해 사망자 6명은 모두 남성이다.,neutral
9948,좋은 가격에 적절한 숙소라고 생각합니다.,가격도 좋고 숙소도 괜찮습니다.,entailment
9949,그래도 슈퍼호스트의 집다운 느낌이었습니다.,전혀 슈퍼호스트의 집답지 않았다.,contradiction
9950,"이 중 대한민국과 카타르는 2022년 월드컵만의 유치를 신청했으며, 나머지 후보들은 두 월드컵 모두의 유치를 신청하였다.",대한민국이 2022년 월드컵을 유치할 가능성이 훨씬 크다.,neutral
9951,뒤팽은 신문들이 진실을 밝히기보다는 사람들의 관심만 조장하려 한다고 혀를 찬다.,뒤팽이 살던 시대에는 신문이 없다.,contradiction
9952,"또, 케이블카의 안전성 확보를 위해 준공 전까지 전체 시설물을 대상으로 안전점검을 철저히 실시할 예정이다.",준공 전까지 일부 시설물만 대상으로 안전점검을 실시할 예정이다.,contradiction
9953,또한 몸이 불편한 장애인과 영유아를 동반한 관람객들에게 휠체어 및 유모차 등 관광 편의시설물을 대여해주기로 했다.,장애인과 영유아에게는 관광 편의시설물 대여가 불가능하다.,contradiction
9954,감히 이 한마디로 영화를 표현하고자 한다.,영화를 한 마디로 표현하려고 한다.,entailment
9955,고등학교때 혼자 보면서 계속 웃었던 영화,고등학교 때 혼자 보면서 계속 울었던 영화.,contradiction
9956,춘분인 21일 오전 광주 북구 첨단2지구 신용근린공원에서 열린 식목일 나무심기 행사에서 이용섭 광주시장과 문인 북구청장 등 주민들이 애기동백나무를 심고 있다.,식목일 나무심기 행사는 신용근린공원에서 열렸다.,entailment
9957,너무 리얼해서 가끔 웃음이 나오네요.,뿡뿡이가 너무 리얼해서 웃음이 나오네요.,neutral
9958,위치가 불편함을 느낄정도는 아니었습니다.,위치때문에 만족스러웠습니다.,neutral
9959,덕분에 든든한 하루를 시작할 수 있었어요.,든든한 하루를 시작한 것은 덕분이에요.,entailment
9960,"추가적으로 미세먼지 저감이 필요한 가구에 대해서는 환경부가 공기청정기를 지원, 사업의 효과를 높일 계획이다.",공기청정기 지원의 효과성은 미미할 것으로 예상된다.,neutral
9961,맥그리거가 아니였다면 이 영화를 더 최악으로 평가했을 듯,맥그리거가 아니었다면 영화를 보다가 그만뒀을 것이다.,neutral
9962,파티를 좋아하는 키언은 부모님이 여행을 떠난 틈을 타 집에서 파티를 열려고 하지만 폭설 때문에 여행이 취소되어 낙담한다.,눈이 많이 와서 여행이 취소되었다.,entailment
9963,다시 시드니에 간다면 또 여길 방문할 것입니다.,여기 다시는 오고 싶지 않습니다.,contradiction
9964,다들 어릴 적에 본 기억으로 찾으셨네요.,다들 본 적이 없으시네요.,contradiction
9965,에펠탑도 날씨만 좋다면 걸어갈만 합니다.,날씨가 궂으면 에펠탑까지 지하철을 타야만 합니다.,neutral
9966,"몸에는 주삿바늘이, 바닥에는 주사기와 수액 봉지가 떨어져 있었다.",주삿바늘이 몸 여러 군대에 꽂혀있었다.,neutral
9967,인공지능이 탑재돼 대화를 나누고 게임을 할 수 있으며 인터넷에 접속하면 일기예보를 들려주거나 뉴스를 읽어준다.,인공지능이 탑재되있다.,entailment
9968,제기억속엔 이 업이란영화가 여운남는 멋진영화라생각합니다,업이란 영화는 여운이 남는 멋진 영화라 생각합니다.,entailment
9969,지형적인 요인에 의해 제주시 지역과 서귀포 지역 간에 기온 차가 나타난다.,제주시와 서귀포시 간에 기온 차가 나타난다.,entailment
9970,"지난 2019년 10월 8일, 한국철도공사는 코레일이라는 이름을 버리고 한국철도로 돌아가기로 하였다.",코레일이라는 이름은 더이상 쓰지 않기로 했다.,entailment
9971,나에겐 이 영화가 영화 역사상 가장 명작이라고 생각한다.,영화 역사상 가장 명작은 이 영화라 생각한다.,entailment
9972,디즈니보다 훨씬 교육적인 아동 애니메이션이다.,디즈니 애니메이션은 교육적이다.,entailment
9973,상사는 선인장 열매가 나는 마타쿠엘요바카와 계약을 맺고 지사를 차려 선인장 열매를 세계로 팔기로 했다고 한다.,상사는 선인장 열매를 팔지 않기로 한다.,contradiction
9974,"몸에는 주삿바늘이, 바닥에는 주사기와 수액 봉지가 떨어져 있었다.",주사기와 수액 봉지를 바닥에서 볼 수 있었다.,entailment
9975,이중에서 피해자를 위해 쓸 정부 예산은 세월호 특별법이 통과될 경우 546억원 정도입니다.,세월호 특별법은 세월호 유가족을 위해 발의된 법안이다.,neutral
9976,사람들 반응 보니까 후반부 안 보길 잘한 듯.,후반부를 보지 않아 다행인 듯.,entailment
9977,정홍원 국무총리는 오늘 세월호 특별법과 관련한 대치에 막혀서 처리되지 못하고 있는 민생법안을 빨리 처리해달라고 야당을 압박했습니다.,어제 세월호 특별법과 관련한 대치가 있었다.,neutral
9978,부평소방서는 10일 오후 2시 부평구 부평동 소재 부평래미안아파트에서 고층 건축물 현장대응력 강화를 위한 소방훈련을 실시했다.,부평소방서는 고층 건축물 현장대응력 강화를 위한 소방훈련을 실시했다.,entailment
9979,그리고 신생권력들의 기득권에 대한 투쟁까지 혼란의 정점을 고스란히 보여주는 왕좌의 게임,신생권력들이 기득권보다 힘이 더 세다는 것을 보여주는 왕좌의 게임.,neutral
9980,"25년 뒤, 어른이 되어 다시 만난 써니 멤버들은 사는 환경은 저마다 달랐지만, 성질만큼은 학창 시절 그대로였다.",써니 멤버들의 성질은 몹시 거칠다.,neutral
9981,"하이패스가 있는 차들만 통과할 수 있는 무인 고속도로 요금소가 생겨나고 있어, 하이패스가 장착되지 않은 차들은 사고 위험에 노출되고 있다.",하이패스가 없는 차들은 무인 고속도로 요금소를 사용할 수 없다.,entailment
9982,감독이 영화 처음 만들어나 할 정도의 영화입니다.,감독이 제작한 첫 영화인가 할 정도의 영화입니다.,entailment
9983,정세균 국무총리가 8일 정부서울청사에서 열린 국제개발협력위원회를 주재하고 있다.,정세균 국무총리는 모든 국제개발협력위원회에 불참했다.,contradiction
9984,열쇠통에서 열쇠찾는데까지는 매우 수월했어요,열쇠통에서 열쇠찾는데까지 너무 어려웠어요.,contradiction
9985,지속적인 데이터 수집을 위한 관리 제도도 마련한다.,관리 제도는 일시적인 데이터 수집을 위해서만 필요하다.,contradiction
9986,"1978년, 어린 캐시, 토미, 루스가 재학 중인 헤일샴이라는 기숙학교는 어딘가 다른 학교와는 다른 분위기가 감돈다.",헤일샴은 다른 학교와 다른 점이 없다.,contradiction
9987,길 위에서의 매력을 전혀 살리지 못한,매력을 살리지 못한.,entailment
9988,바닥청소는 깨끗한편이나 조금 신경쓰이긴합니다,바닥 청소가 잘 되어있지 않아 신경쓰입니다.,contradiction
9989,웃긴다는 측면에서 주성치영화나 상대가 될수 있겠다,주성치 영화와는 어떤 방면으로도 상대가 될 수 없겠다.,contradiction
9990,"1970년대 이후 사상 최강의 강진에, 경주는 물론 부산의 고층 건물의 거주민들도 극도의 불안을 느끼고 있다.",강진에도 불구하고 부산의 고층 건물의 거주민들은 전혀 불안을 느끼지 않고 있다.,contradiction
9991,셰필드의 창단은 원시적이던 당시의 축구를 현대 축구로 발전시키는 하나의 계기였다는 점에서 의의가 있다.,셰필드의 창단은 당시 축구를 현대 축구로 발전시킨다.,entailment
9992,숙소의 사진은 사진에 올려놓은바와 같다.,숙소의 사진은 사진에 올려놓은 바와 완전 다르다.,contradiction
9993,"철도산업발전기본법이 철도시설을 국가가 소유하도록 하고 있으므로, 국가 소유 시설을 민간이 운영하도록 해서는 안 된다는 것이다.",국가 소유 시설을 민간이 운영하는 사례가 있다.,neutral
9994,"시민추진협의회는 시민회관의 50년 역사성과 시민공간의 중요성을 담기 위해 전문가, 시민사회, 의회, 언론 등이 참여해 활용 방향을 협의할 예정이다.",시민추진협의회에는 시민사회와 지역주민만 참여한다.,contradiction
9995,2000년에 집권한 로랑 그바그보 대통령은 지난해 11월 대선 에서 패해 재선에 실패했습니다.,재선에 실패한 대통령은 대선에 다시 출마할 수 없다.,neutral
9996,시부야나 롯본기 등 이동하기에 좋습니다,시부야나 롯본기로만 이동할 수 있습니다.,neutral
9997,"다만 지리산, 설악산, 덕유산 등 전국 국립공원 14개 대피소는 탐방객의 안전, 방역 및 운영여건에 어려움이 예상돼 이번 개방 대상에서 제외됐다.",전국 국립공원 14개 대피소는 이번 개방 대상에 모두 포함됐다.,contradiction
9998,현대사회에서 몸부림치는 청소년을 그린듯한 영화였습니다,현대 사회의 청소년을 다루는 영화였습니다.,entailment
9999,"8분 뒤인 오후 5시 45분에 주변에 있던 해경 함정 2척이 가세, 총 5척의 함정이 중국 어선들을 가로막으려 했다.",종 7척의 해경 함정이 중국 어선들을 가로막으려 했다.,contradiction
10000,종교 재판소는 고야를 이단 혐의로 고발하려 했으나 로렌조 신부는 고야를 위대한 예술가라며 두둔한다.,고야는 이단이다.,neutral
10001,"한편 광양시에는 현재 어린이보호구역 123개소, 노인보호구역 4개소, 장애인보호구역 1개소 등 총 128개소가 보호구역으로 지정돼 관리되고 있다.",광양시에만 장애인보호구역이 있다.,neutral
10002,"사진과 똑같고 방, 화장실 모두 깔끔합니다.",화장실과 방이 깔끔한 상태입니다.,entailment
10003,농가가 살포대행자를 선임하면 공동살포를 지원하고 있다.,공동살포는 금전적으로 보상한다.,neutral
10004,고영태는 용사의 거래 현장을 조작하여 용사에게 살인죄를 덮어씌운다.,용사는 고영태에게 살인죄를 덮어 씌운다.,contradiction
10005,"청년들은 기존 종이문서의 전자화, 고객 기업 관련 데이터 추가등의 업무를 수행할 예정이다.","기존 종이문서의 전자화, 고객 기업 관련 데이터 추가등의 업무는 노인들만 수행할 예정이다.",contradiction
10006,지자체 중심으로 안심식당 지정 및 지원 등을 통해 외식 업계 참여 분위기를 환산하겠다는 것이다.,중앙정부 중심으로 안심식당 지정 및 지원 등을 통해 외식 업계 참여 분위기를 환산하겠다는 것이다.,contradiction
10007,사진과 위치 모두 소개된 대로 였습니다.,사진과 위치를 호스트가 소개해주었습니다.,neutral
10008,다음엔 감독님 혼자 느끼는 영화말구 다같이 느낄수 있는 영화를 부탁합니다.,이 감독의 역대 모든 영화는 감독 혼자 느끼는 영화였습니다.,neutral
10009,"점검 대상은 설 명절을 맞아 국민이 많이 섭취하는 식품을 제조, 유통, 판매하는 업체와 명절기간 중 많이 이용하는 음식점 등이다.",정부에서 점검대상을 지정한다.,neutral
10010,진짜 예고편이 훨씬 재미있는영화는 오랜만이다,예고편이 길다.,neutral
10011,"내용은 반크가 한국 정부로부터 연간 200억 이상의 예산을 지원을 받아서 거짓말을 퍼뜨린다, 정부가 반크 대표를 임명하고, 연구원은 100명이라는 것입니다.",반크가 한국 정부의 지원을 받는다는 내용도 있습니다.,entailment
10012,이를 위해 보조금 지원시한을 최대 2025년까지 연장하고 지원물량을 대폭 확대하며 세제 혜택 연장과 함께 충전요금 부과체계 개선 등도 적극 추진한다.,지원물량을 대폭 축소하며 충전요금 부과체계 개선도 추진한다.,contradiction
10013,이번 여행에서 가장 마음에 드는 숙소였습니다.,가장 마음에 드는 여행이었습니다.,neutral
10014,음악은 최고 시작부터 끝까지 흥얼거렸다.,내내 음악을 흥얼거렸다.,entailment
10015,"조선대학교, 순천대학교, 광주대학교 3개 대학이 연합하여 진행하는 창업지원센터이다.",창업지원센터는 5개 대학이 연합하여 진행된다.,contradiction
10016,내생에 최고의 영화를 35에 만나다니.,내생에 최고의 영화가 어벤져스라니.,neutral
10017,에밀리 브라우닝의 마지막 장면에선 나도 함께 오열했다.,나는 에밀리 브라우닝의 마지막 장면에서 눈물을 흘렸다.,entailment
10018,프라하 다시 간다면 여기서 다시 묵을거에요,여긴 다시 오고 싶지 않아요.,contradiction
10019,지금껏 다녔던 숙소보다 너무 좋았어요.,지금껏 다녔던 숙소 중에 제일 별로였어요.,contradiction
10020,그러나 앞날을 결코 낙관할 수 없습니다.,낙관할 수 없는 앞날이다.,entailment
10021,다행히 얼마 전 교도 통신이 역사 수정주의에 관련해 일본 정부가 비판을 받을지도 모른다고 지적을 한 바 있습니다.,교토 통신이 일본 정부가 비판을 받을 수 있다고 지적한 적 있습니다.,entailment
10022,복층구조의 2층은 여름에는 약간 덥습니다.,복층구조의 2층은 여름에는 조금 덥습니다.,entailment
10023,동시에 고주원 씨는 망설임 없이 김보미 씨 취업을 축하하기 위해 비행기에 제주공항으로 향했다.,고주원 씨는 공항에 가는 것을 많이 망설였다.,contradiction
10024,"디자인분야의 학술단체와 산업계, 지역 디자인 유관분야가 함께 협력하여 디자인 담론으로서의 휴머니티를 재해석하는 국제학술행사를 진행한다.",국제학술행사는 디자인 뿐만이 아니라 사회 각 이슈에 대한 담론도 진행된다.,neutral
10025,각자의 뮤직비디오엔 각 대학교를 상징하는 파란색과 붉은색 필터를 씌워 대학 정체성을 살렸다.,일부 뮤직비디오는 필터의 색상이 겹치기도 했다.,neutral
10026,모델 겸 방송인 한혜진이 방송인 전현무와의 결별 이후 첫 공식석상에 모습을 드러냈다.,이번 공식석상은 한혜진과 전현무의 결혼발표 이후 첫 공식석상이다.,contradiction
10027,또 기초생활보장제도의 생계급여 부양의무자 기준을 2022년까지 폐지하고 보장성이 강화되도록 기준중위소득 산정방식을 개편한다.,2020년까지 기초생활보장제도의 생계급여 부양의무자 기준을 폐지한다.,contradiction
10028,난항을 겪던 사건은 2005년 경찰이 미제사건 재조사에 나서며 상황이 반전됐다.,경찰은 재조사 과정에서 결정적인 증거를 찾아냈다.,neutral
10029,"광주 남구는 어르신들의 신체와 정서, 인지 강화를 위해 신체활동 등을 곁들인 뇌건강 365 인지교실을 오는 11월말까지 운영한다.",뇌건강 365 인지교실은 참석률이 높다.,neutral
10030,깔끔하지 못한 끝마무리가 옥의 티다.,더러운 첫장면도 옥의 티다.,neutral
10031,박새는 배 가운데로 넥타이 같은 검은 줄무늬가 있는 것이 특징이다.,박새는 박새만의 특징이 있다.,entailment
10032,위치도 좋고 주변은 흥미로운 지역입니다.,지역의 위치가 별로고 주변이 재미없었습니다.,contradiction
10033,이성간의사랑과 다를게없다는걸 보여준게 좋았어요,이성간의 사랑을 보여준게 싫었어요.,contradiction
10034,이번 크림롤 2종 출시 이후에도 연말까지 단독 운영 디저트 상품 15종을 추가적으로 선보이며 관련 카테고리를 점차 확대해 나갈 계획이다.,출시된 크림롤 2종은 큰 인기를 얻었다.,neutral
10035,에드는 세계 각국을 돌며 우주와 별에 대해 강연을 여는 저명한 교수이다.,에드는 우주와 별에 대해선 문외한이다.,contradiction
10036,다음번 방문시에도 나는 여기서 머물길 원한다,다음번에는 여기서 친구들과 머물렀으면 좋겠다.,neutral
10037,"자진 납부 방안에는 압류된 재산을 포기하고, 모자라는 부분은 자녀와 3남 재만씨 장인인 이희상 동아원 회장 등이 나눠서 부담하기로 한 것으로 보인다.",압류된 재산은 국가에 귀속된다.,neutral
10038,슬로우 비디오랑 비슷한 느낌의 영화였다.,슬로우 비디오처럼 길이가 긴 영화였다.,neutral
10039,기대보다 훨씬 나은 수작 긴장감도 좋고 추천,추천하는 긴장감 좋은 수작.,entailment
10040,"이날 결의대회에는 김병내 구청장과 주민 대의기관인 남구의회 조기주 의장과 박희율 부의장, 주민 등 100여명이 참석했다.",이날 결의 대회에 참석한 인원은 100여명이었다.,entailment
10041,위치는 산타마리아노벨라 역 근처이지만 번화가하고는 반대위치입니다.,번화가보다 산타마리아노벨라 역이 더 가까이 위치해있습니다.,entailment
10042,최민식의 올드보이랑 비교가 마니 돼네요.,최민식의 올드보이와 차이가 없네요.,contradiction
10043,9월 기본조사를 끝내고 내년 3월까지 정밀조사를 시행해 문화재적 가치와 보존필요성 등을 종합적으로 고려하면서 기존 시설물을 관리해 나갈 방침이다.,정밀조사는 문화재청에서 시행한다.,neutral
10044,"이산화황의 오염도는 울산·대구·성남 등 일부 도시와 공단지역을 제외한 전국에서 해마다 줄어들어, 장기환경기준치를 넘지 않는다.",이산화항의 오염도는 전국이 장기환경기준치를 넘는다.,contradiction
10045,1시간 20분부터 완전 눈버리고 기분잡친 영화,영화를 보는 내내 기분이 좋았다.,contradiction
10046,"렉터는 스탈링과 처음 만나자마자 그녀의 체취와 옷차림, 그리고 간단한 말 몇 마디로 그녀의 출신과 배경을 간파해 그녀를 놀라게 한다.",렉터는 스탈링을 처음 만난다.,entailment
10047,이로써 항생제 남용에 따른 생존의 위협 문제 및 항생제가 통하지 않는 수퍼 박테리아를 퇴치하는 문제 등이 해결될 길이 열렸다.,수퍼 박테리아를 퇴치하는 문제는 해결될 기미가 보이지 않는다.,contradiction
10048,"디지털 트윈은 현실세계의 기계, 장비 등을 컴퓨터 속 가상세계에 구현해 현실에서 발생 가능한 문제점을 파악하고 해결하기 위해 활용하는 가상공간을 말한다.","디지털 트윈은 현실에서의 기계, 장비 등을 컴퓨터에서의 가상세계에 구현하는 것이다.",entailment
10049,꿈꾸던 유럽의 에어비앤비 그 자체였답니다.,유럽의 에어비엔비에 대한 환상을 모두 직접 경험했답니다.,neutral
10050,3일 여수시 자산공원에 낭만우체통이 등장해 눈길을 끌고 있다.,낭만우체통은 유일하게 자산 공원에만 있다.,neutral
10051,오네긴의 형상을 환상적으로 만들어 낸 최고의 배우,오네긴의 형상을 환상적으로 만든 배우.,entailment
10052,춘향은 어릴 때부터 용모가 아름답고 시와 그림에 능하여 온 고을이 춘향을 칭송했다.,춘향은 어릴 적부터 마을 사람들로부터 무시당했다.,contradiction
10053,그래도 세 명이 지내기에는 부족함이 없었어요.,세 명이 지내기에 부족했어요.,contradiction
10054,"사회적 거리두기가 1단계로 완화되자마자, 일부 건설노조들은 삼삼오오 모여 노조원 채용을 요구하는 집회를 열었다.",사회적 거리두기 2단계가 시행 중일때도 집회는 열렸었다.,neutral
10055,저는 전반적으로 만족스러운 숙소였습니다,인테리어가 만족스러운 숙소였습니다.,neutral
10056,아이네스의 아버지는 막대한 재산을 헌금하고 성당의 재건축을 후원할 것을 약속하고 대신 딸을 석방해달라고 간청한다.,아이네스의 아버지는 막대한 재산을 가지고 있다.,entailment
10057,대부분의 관광지역이 숙소를 중심으로 있어요.,숙소를 중심으로 관광지가 있어요.,entailment
10058,"한편, 소중한 기부품은 전남사회복지공동모금회 지정기탁과 연계하여 어려운 이웃에게 전달할 예정이다.",전남사회복지공동모금회가 주관하여 전달할 예정이다.,neutral
10059,합의에 따른 성관계였음을 주장하는 피고인 측 역시 안 전 지사와 김지은 씨가 주고받은 문자를 증거로 제출했다.,피고인은 성관계에서 합의가 없었다고 주장했다.,contradiction
10060,하지만 혜원은 사고로 인해 턱뼈가 나가고 팔이 부러지면서 자신이 한 말이 거짓말이라는 사실을 지숙에게 말하고 싶지만 전달할 방법이 없다.,혜원은 교통사고를 당한다.,neutral
10061,대한민국의 합동참모본부는 오늘 연평도에서 해상 사격 훈련을 실시할 계획이라고 밝혔다.,바다 위에서 하는 훈련이 오늘 계획되어 있다.,entailment
10062,자꾸 왜 저렇게 행동할까 하는 의문만 가지게 한다.,자꾸 의문만 가지게 한다.,entailment
10063,표준물질과 정확한 측정결과가 주어지면 관련업체는 정확성을 개선할 수 있다.,표준물질과 정확도 998프로의 측정결과가 주어지면 관련업체는 정확성을 개선 가능하다.,neutral
10064,책으로나온 삼국지 보다 영화로 나온 삼국지가 더 재미없다,책으로 나온 삼국지가 영화로 나온 삼국지보다 더 재미없다.,contradiction
10065,그렇지만 스토리의 유니크함은 찾을 수 없었음,연출의 유니크함은 찾을 수 있었음.,neutral
10066,19대 대통령 선거 개표 결과 더불어민주당의 문재인 후보가 총 3267만 2101표 중 1342만3800표를 얻어 당선되었다.,19대 대통령은 1934만9800표를 얻어 당선되었다.,contradiction
10067,야생에서 자란 한 아이가 농부들에 의해 잡혀 파리의 의사 이타르에게 보내진다.,야생에서 자란 아이가 사냥꾼들에게 잡힌다.,contradiction
10068,2021년 1월1일 양도분부터 적용한다.,양도분은 2021년 새해 첫 날에 적용된다.,entailment
10069,나중에알았지만 테스코 마트가 굉장히 가까워요.,테스코 마트는 굉장히 멀리 있어요.,contradiction
10070,"소방학교는 전국 7곳의 소방학교 중 서울과 경기 2곳이 소방준감, 부산, 광주, 강원도, 충청남도, 경상북도 등 5곳은 소방정 계급이 학교장직을 맡는다.",특별한 경우 지정된 계급보다 높거나 낮은 계급이 학교장을 맡을 수 있다.,neutral
10071,덕분에 코나에서 행복한 시간을 보냈습니다.,덕분에 코나에서 행복한 시간을 보낼수 있을 것 같습니다.,contradiction
10072,이번 비자림로 공사 논란은 대한민국 정부의 환경에 대한 인식 부족과 암암리에 이뤄진 부실 환경영향평가의 실태를 알린 것이 될 것이다.,환경 상태에 대해 대한민국 정부는 확실히 자각하고 있었다.,contradiction
10073,"복지는 국가의 전유물이라고 할 수는 없지만, 국민의 노후 기본 생활을 보장하는 연금정도는 국가가 책임져야 하는 것은 아닌지 고민이 필요합니다.",복지는 국가의 전유물이다.,contradiction
10074,영화가 끝날 때 마치 멜로 영화를 본 것 같았다.,영화를 보지 않은 것 같았다.,contradiction
10075,스마트폰과 가상현실 체험장치를 연결하면 더욱 실감나는 체험이 가능하다.,스마트폰과 가상현실 체험장치를 연결하면 실감나는 체험이 불가능해진다.,contradiction
10076,"청와대는 감사원과 검찰 수장의 장기간 부재로 인한 혼란을 빠르게 수습하기 위한 것이며, 기초연금 입법화를 빠르게 진행하기 위한 것이라고 해명했다.",감사원과 검찰 수장의 부재는 금방 채워졌다.,neutral
10077,스웨덴 왕립과학원 노벨위원회는 지난 10일 기자회견에서 2016년 노벨경제학상 수상자로 올리버 하트와 벵트 홀름스트룀을 선정했다고 밝혔다.,올리버 하트와 벵트 홀름스트룀은 명성 높은 경제학자다.,neutral
10078,다음날 학교에서 기하학 시험 때문에 낙제할 위기에 처한 서터는 에이미를 만나서 과외를 부탁한다.,서터는 영어 시험 때문에 낙제할 위기에 처한 것이 아니다.,entailment
10079,"단 이번 정책의 목표는 한 계절 쓰고 마는 우산이 아니라, 글로벌 산업 구조의 재편 속에 두고두고 쓰일 연장을 찾는 데 두어야 한다.",이번 정책의 목표는 글로벌 산업 구조의 재편 전까지 임시로 사용할 연장을 찾는 것이다.,contradiction
10080,28번 트램 출발지가 골목 바로 아래에 있어요.,골목 바로 위에 29번 트램 출발지가 있어요.,neutral
10081,알렉산드리아의 입장에서 영화를 봤던 것 같다.,영화를 알렉산드리아의 입장에서 시청했다.,entailment
10082,벨트에는 델토라 왕국을 구성하는 일곱 개 부족에서 얻은 신비한 보석 7개가 박혀 있다.,벨트에는 보석이 박혀있다.,entailment
10083,이 영화를 봤다는 자체가 수치스럽다.,이 영화를 봤다는 것 자체는 자랑스럽다.,contradiction
10084,다른 주말드라마에 비하면 지극히 정상적인,주말드라마는 지극히 비정상적인.,neutral
10085,한편 윤화섭 시장은 도의원 시절 단원청소년수련관 조성을 위해 경기도 특별조정교부금 7억5천만 원을 확보하는 등 큰 관심을 갖고 추진해왔다.,윤화섭 시장은 도의원을 지낸적이 없다.,contradiction
10086,"2013년 1월 26일, 제18대 대통령직인수위원회는 이명박 대통령이 추진하려는 특별사면에 대하여 반대 입장을 밝힌 바 있다.",제18대 대통령직인수위원회는 특별사면에 대한 반대입장을 트위터로 밝혔다.,neutral
10087,후르칸은 가족들에 의해 인근 병원으로 이송됐지만 끝내 사망했다.,후르칸은 큰 병원으로 이송되었다.,neutral
10088,손녀 지윤은 대령 예편 후 치매에 걸려 기억을 잃어버린 할아버지 이 노인의 사진첩에서 어린 소녀의 모습이 담긴 낡은 사진 한 장을 발견한다.,이 노인은 대령 예편 후 치매에 걸렸다.,entailment
